nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,timestamp
0.345379501581192,0.3274723291397095,-0.3655235469341278,0.9981789588928223,0.31821340322494507,0.37501394748687744,-0.2020910084247589,0.9977466464042664,0.3797629177570343,0.43110334873199463,-0.32373368740081787,0.9990173578262329,0.34536904096603394,0.40482744574546814,-0.07689462602138519,0.2447088658809662,0.45159560441970825,0.423339307308197,-0.24864664673805237,0.6102522611618042,0.3242040276527405,0.3634723126888275,-0.002514532534405589,0.2913217842578888,0.4375062882900238,0.3661702871322632,-0.12913624942302704,0.7331866025924683,0.3243921101093292,0.5926370620727539,0.06580737978219986,0.9995189905166626,0.3479628562927246,0.6361342072486877,-0.06575816869735718,0.9997932314872742,0.42402929067611694,0.46065086126327515,0.29852259159088135,0.0781845822930336,0.443145215511322,0.4776034653186798,0.1525934785604477,0.21687152981758118,1763122249.8414822
0.39291393756866455,0.3568705916404724,-0.18949924409389496,0.9980461001396179,0.3542277216911316,0.38452693819999695,-0.16320733726024628,0.9977754950523376,0.40559396147727966,0.43249082565307617,-0.14917227625846863,0.99885493516922,0.3719004988670349,0.38536137342453003,-0.10305967181921005,0.24827003479003906,0.4667062759399414,0.4049240052700043,-0.14379911124706268,0.6050214171409607,0.3759486675262451,0.3287869393825531,-0.08774135261774063,0.29366567730903625,0.4954080581665039,0.32854408025741577,-0.11858899891376495,0.72044438123703,0.34993356466293335,0.6219485998153687,-0.005661276169121265,0.9995356202125549,0.383147656917572,0.6403749585151672,0.005685796029865742,0.9997851252555847,0.49291548132896423,0.42557430267333984,-0.03225754201412201,0.11836422234773636,0.5021494030952454,0.43497034907341003,0.05616658926010132,0.23266096413135529,1763122249.8864822
0.4123381972312927,0.3593312203884125,-0.18165060877799988,0.9976158142089844,0.3516021966934204,0.3868415951728821,-0.18643711507320404,0.9977556467056274,0.4084030091762543,0.445179283618927,-0.15035893023014069,0.9986492991447449,0.3603491187095642,0.3875425457954407,-0.14785008132457733,0.25888755917549133,0.4716030955314636,0.41491925716400146,-0.14109550416469574,0.6179048418998718,0.3577391803264618,0.3222295343875885,-0.15597401559352875,0.31658145785331726,0.507808268070221,0.3286387622356415,-0.14700254797935486,0.7298449277877808,0.3477621078491211,0.6242698431015015,-0.014330325648188591,0.9995588660240173,0.38413065671920776,0.6464943289756775,0.014507380314171314,0.9997944235801697,0.4851747155189514,0.4228772819042206,-0.08772218227386475,0.16468007862567902,0.5348619222640991,0.42862775921821594,-0.040882375091314316,0.2630870044231415,1763122249.934502
0.3713644742965698,0.36150771379470825,-0.13351009786128998,0.9977740049362183,0.34645336866378784,0.39213472604751587,-0.09411768615245819,0.9978618025779724,0.37128832936286926,0.4207574725151062,-0.1660284399986267,0.9987117052078247,0.3572186529636383,0.3855089545249939,-0.00851537100970745,0.25305798649787903,0.3922473192214966,0.38801366090774536,-0.12886086106300354,0.6090151071548462,0.34824487566947937,0.32767874002456665,0.033871810883283615,0.30286094546318054,0.36917901039123535,0.30950403213500977,-0.04916209354996681,0.7086058259010315,0.32914572954177856,0.6147386431694031,0.038074791431427,0.9995009899139404,0.3464561104774475,0.6445318460464478,-0.03799682483077049,0.9997400641441345,0.4159054160118103,0.39825767278671265,0.14952033758163452,0.16021476686000824,0.42241865396499634,0.4140222370624542,0.1298418939113617,0.257442444562912,1763122250.3881645
0.37620607018470764,0.4296494126319885,-0.0992508977651596,0.997957706451416,0.35602325201034546,0.4175052344799042,-0.09350397437810898,0.9980391263961792,0.3770637810230255,0.44302621483802795,0.0010511790169402957,0.9987428188323975,0.35869842767715454,0.3685549795627594,-0.10690309852361679,0.3108561933040619,0.40381813049316406,0.39461421966552734,-0.026413094252347946,0.5737125277519226,0.36422431468963623,0.30706316232681274,-0.11007360368967056,0.3499811589717865,0.40626296401023865,0.31915247440338135,-0.035097021609544754,0.6896894574165344,0.3343023657798767,0.6429665088653564,-0.032463088631629944,0.9995429515838623,0.3553125560283661,0.6512923836708069,0.032300882041454315,0.9997586011886597,0.464569628238678,0.4097253382205963,-0.2502921223640442,0.2215076982975006,0.5027005672454834,0.43057772517204285,-0.03243792802095413,0.29292574524879456,1763122250.4486911
0.39336806535720825,0.4398641288280487,-0.1532566398382187,0.9981268048286438,0.3753751218318939,0.4376714825630188,-0.17775200307369232,0.9981797933578491,0.3692891001701355,0.4443466365337372,-0.031976766884326935,0.9987466931343079,0.3736850619316101,0.3802603483200073,-0.21894481778144836,0.36525994539260864,0.3455251455307007,0.395649254322052,-0.013219098560512066,0.5315268635749817,0.38476309180259705,0.28944486379623413,-0.2672429382801056,0.39951080083847046,0.3140467703342438,0.3158203661441803,-0.01709786057472229,0.6601155996322632,0.3508216142654419,0.6556598544120789,-0.04102250933647156,0.9995696544647217,0.3549278676509857,0.6571348905563354,0.041020769625902176,0.9997671842575073,0.49762970209121704,0.41097548604011536,-0.22294187545776367,0.26894211769104004,0.4989710748195648,0.4298474192619324,0.022518876940011978,0.3039737939834595,1763122250.507695
0.3726477026939392,0.3969539403915405,-0.21398603916168213,0.9982281923294067,0.3294646739959717,0.43304571509361267,-0.19558005034923553,0.9982810020446777,0.3998434841632843,0.47792476415634155,-0.17358002066612244,0.998776376247406,0.33493858575820923,0.38298553228378296,-0.1328783929347992,0.35990551114082336,0.48238930106163025,0.45980745553970337,-0.12831400334835052,0.5572307109832764,0.34164556860923767,0.2952263057231903,-0.12860459089279175,0.41112324595451355,0.4914529323577881,0.34935295581817627,-0.1430843472480774,0.6828357577323914,0.337883323431015,0.6411715745925903,-0.03269665315747261,0.9996062517166138,0.36651870608329773,0.6604506969451904,0.03236180543899536,0.9997862577438354,0.4873931407928467,0.4381619393825531,-0.07733036577701569,0.2800469994544983,0.5440878868103027,0.464216023683548,0.02686605416238308,0.3287391662597656,1763122250.5642862
0.3477078676223755,0.3810636103153229,-0.14931043982505798,0.9982409477233887,0.31242039799690247,0.41734686493873596,-0.17379643023014069,0.9983788728713989,0.39329689741134644,0.4682052731513977,-0.15105096995830536,0.9987956285476685,0.32779014110565186,0.3922360837459564,-0.13437959551811218,0.3585837781429291,0.4705997109413147,0.4488544762134552,-0.12707921862602234,0.5784037113189697,0.33189135789871216,0.30010947585105896,-0.15943293273448944,0.4297293424606323,0.485001802444458,0.3436349928379059,-0.10641883313655853,0.6997686624526978,0.31777697801589966,0.6360275745391846,-0.012765714898705482,0.9996328949928284,0.3662309944629669,0.6626654863357544,0.012680892832577229,0.9997968077659607,0.4837188124656677,0.44223371148109436,-0.14120347797870636,0.3069446086883545,0.5292166471481323,0.47161558270454407,0.02086353302001953,0.3492045998573303,1763122250.6162598
0.3115141987800598,0.38104382157325745,-0.33532044291496277,0.9983972907066345,0.2999274432659149,0.41422411799430847,-0.179390087723732,0.9984909892082214,0.36042335629463196,0.4650402367115021,-0.24216501414775848,0.9988917708396912,0.3229254186153412,0.41312074661254883,-0.12233133614063263,0.3591878414154053,0.42735257744789124,0.4484420418739319,-0.16954545676708221,0.586463987827301,0.3203437030315399,0.32637232542037964,-0.08322310447692871,0.4516355097293854,0.4146079421043396,0.3506883680820465,-0.08983545750379562,0.7064624428749084,0.3027544915676117,0.6310306787490845,0.015451543033123016,0.9995812773704529,0.34132492542266846,0.6611749529838562,-0.015353932976722717,0.9997475147247314,0.4065309464931488,0.46156468987464905,0.26111188530921936,0.2855949103832245,0.4315837025642395,0.4779462516307831,0.19586870074272156,0.32448261976242065,1763122250.6648116
0.3278222680091858,0.36483433842658997,-0.33869677782058716,0.9985311031341553,0.2840527594089508,0.3921999931335449,-0.1923016607761383,0.9985990524291992,0.35218140482902527,0.485137403011322,-0.29487377405166626,0.9989709258079529,0.29938846826553345,0.3822534382343292,-0.10418102890253067,0.34935152530670166,0.41180333495140076,0.4662496745586395,-0.23642444610595703,0.615481436252594,0.3193143606185913,0.31520721316337585,-0.11448578536510468,0.4531431794166565,0.39447909593582153,0.3534851372241974,-0.1711955964565277,0.7198963165283203,0.29554933309555054,0.6013776063919067,0.05225473642349243,0.9995953440666199,0.33263927698135376,0.6609621644020081,-0.051757026463747025,0.9997662901878357,0.4207875728607178,0.48967620730400085,0.44909554719924927,0.2678712010383606,0.4448842406272888,0.5269593596458435,0.13752570748329163,0.3304291069507599,1763122250.7078495
