timestamp,label,confidence,action,recent_bad_fraction
1763121417.415018,1,0.5826973468209616,2,1.0
1763121420.46838,1,0.5826973468209616,2,1.0
1763121423.4785194,1,0.5826973468209616,2,1.0
1763121426.5148287,1,0.5740142315770499,1,1.0
1763121429.562774,1,0.5737230032826773,1,1.0
1763121432.60895,1,0.5737481862450949,1,1.0
1763121435.669337,1,0.5735257715131156,1,1.0
1763121438.713606,1,0.573687002077233,1,1.0
1763121441.7562768,1,0.5737823099042288,1,1.0
1763121444.8035188,1,0.5736858397866599,1,1.0
1763121447.849776,1,0.5736085027600638,1,1.0
1763121450.8654149,1,0.5735376328374259,1,1.0
1763121453.934546,1,0.5734707564259879,1,1.0
1763121456.9431505,1,0.5735913366223685,1,1.0
1763121459.9785705,1,0.5736437887097708,1,1.0
1763121462.9948459,1,0.5736686140443198,1,1.0
1763121466.0221963,1,0.5737337321187369,1,1.0
1763121469.0554411,1,0.573508813991677,1,1.0
1763121472.1125736,1,0.5735840052510611,1,1.0
1763121475.1216662,1,0.5737295001889579,1,1.0
1763121478.157342,1,0.5744185894872061,2,1.0
1763121481.158234,1,0.5744508057977072,1,1.0
1763121484.1639519,1,0.5738411396886222,1,1.0
1763121487.1826396,1,0.5737731307889334,1,1.0
1763121490.2164772,1,0.5737673491383902,1,1.0
1763121493.223663,1,0.5737202018643729,1,1.0
1763121496.2639635,1,0.5737269073869101,1,1.0
1763121509.9093475,1,0.5826973468209616,2,1.0
1763121512.9572384,1,0.5736367851640097,1,1.0
1763121515.9660344,1,0.5740156620885245,1,1.0
1763121519.0048873,1,0.5741841048146598,1,1.0
1763121522.030023,1,0.5742374807740561,1,1.0
1763121525.0530965,1,0.5742662102128379,1,1.0
1763121528.0699341,1,0.5742322355653159,1,1.0
1763121531.0994427,1,0.5733891874696128,1,1.0
1763121534.139576,1,0.573500439539086,1,1.0
1763121537.1611745,1,0.5736093968297354,1,1.0
1763121540.1884274,1,0.5735277980710379,1,1.0
1763121543.2602487,1,0.5736247152234427,1,1.0
1763122062.1787014,1,0.5676594227696768,1,1.0
1763122065.2127995,1,0.5659476667786948,0,1.0
1763122068.2632964,1,0.5661519020940177,0,1.0
1763122071.285394,1,0.5666863769437186,0,1.0
1763122074.3440425,1,0.5664966255570761,0,1.0
1763122077.3574505,1,0.5664304047967307,0,1.0
1763122080.4127088,1,0.5664128214265219,0,1.0
1763122083.4592044,1,0.5665951818372122,0,1.0
1763122086.492328,1,0.5663965195561759,0,1.0
1763122089.5140183,1,0.5665593296433798,0,1.0
1763122092.5357852,1,0.5662999600316397,0,1.0
1763122095.5488603,1,0.5663524419213645,0,1.0
1763122098.6029596,1,0.5664841383839957,0,1.0
1763122101.6643445,1,0.5662970096017234,0,1.0
1763122104.680255,1,0.5662824362660758,0,1.0
1763122107.743175,1,0.566230639829766,0,1.0
1763122110.7617757,1,0.5661707669640891,0,1.0
1763122113.8080523,1,0.5667998343850486,0,1.0
1763122131.520001,1,0.5679712146664969,1,1.0
